part_number,new_part_number
23-68A ,72008345
23-697 ,3208899
23-702A ,
23-703 ,
23-71 ,
23-712 ,
23-721 ,3209228
23-722 ,
23-723 ,
23-726 ,
23-757 ,
23-788 ,72008709
23-974 ,
23-A169A ,
23-A711A ,
23-AM168A ,
23-AM222 ,
23-AN168AH ,
23-D58A ,50322593
23-M301 ,3207974
230-302 ,3389723
230-74 ,3389749
230-98 ,3389756
230-A40 ,
230-A727 ,3389772
231-12 ,3431251
231-183 ,50323823
231-251 ,50324029
231-252 ,
231-258 ,50324052
231-259 ,50324060
231-262 ,50324094
231-263 ,
231-264 ,50324110
231-266 ,50324128
231-270 ,
231-271 ,50324151
231-329 ,3431236
231-406 ,50324409
231-53 ,
231-610 ,
231-611 ,
231-614 ,
231-615 ,
231-616 ,50324615
231-621 ,50324631
231-623 ,
231-624 ,
231-664 ,3431186
231-665 ,3431194
231-702 ,
231-704 ,3431210
231-719 ,
231-721 ,
231-722 ,
231-723 ,50325000
231-724 ,3430816
231-732 ,
231-739 ,50325109
231-972 ,50325265
231-974 ,50325273
231-A40A ,3670304
231-A611 ,
231-AN222 ,
231-D35 ,
231-M168 ,50323351
231-M170 ,
231-N170 ,50323567
23125-D53 ,
23140-D53 ,
2315-38 ,50325281
2315-39 ,50325299
2315-40A ,
2315-D53 ,72010150
2325-39 ,
2325-40A ,72010234
2325-41 ,3207198
2325-D53 ,
232JR38B ,
233R38A ,50075589
233R58 ,50069285
235-146 ,3200631
235-98 ,3200623
235R58 ,50069293
237JR38 ,50018647
237JR38B ,50023472
237JR38C ,50171610
237R38 ,50200906
237R38A ,50074327
237SA90 ,50109222
237SAR120 ,
237SAR120C ,50108372
238JR38B ,50023522
238R38A ,50074343
238RP38 ,50006899
239JR38 ,50018704
239R58 ,50069301
23A7M14 ,95043220
23A9C807 ,95083770
23CC3 ,50019579
23JR300 ,50312354
23PF2 ,
24-176 ,
24-291 ,
24-352 ,72012180
24-38 ,72012214
24-397 ,95200895
24-401 ,72012222
24-404 ,72012248
24-407 ,72012255
24-416 ,72012289
24-422 ,72012297
24-704 ,
24-719 ,
24-720 ,
24-723 ,72012503
24-C53 ,72011315
24-C67A ,72011349
240-329 ,3623360
240-706 ,3471414
240-739 ,3472172
240CC4 ,50020940
241-137 ,
241-171 ,
241-183 ,
241-251 ,
241-252 ,
241-257 ,
241-259 ,
241-261 ,
241-262 ,
241-263 ,
241-264 ,
241-266 ,
241-271 ,
241-323 ,
241-360 ,
241-401 ,
241-402A ,
241-404 ,
241-407 ,
241-415 ,
241-416A ,
241-426 ,
241-455 ,
241-471 ,
241-472 ,
241-60 ,
241-610 ,
241-611 ,
241-614 ,
241-615 ,
241-616 ,
